Year,Region,Sex,Data,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,age60,age61,age62,age63,age64,age65,age66,age67,age68,age69,age70,age71,age72,age73,age74,age75,age76,age77,age78,age79,age80,age81,age82,age83,age84,age85,age86,age87,age88,age89,age90,age91,age92,age93,age94,age95,age96,age97,age98,age99,age100
1989,CompleteOnly,males,Dx,4353,609,373,244,223,213,208,177,166,152,131,146,118,166,185,253,340,452,423,327,462,606,620,633,636,684,751,850,876,939,876,885,1003,1045,1035,1071,1077,1231,1323,1442,1467,1247,1439,1107,1160,1531,1527,2243,2761,3219,3664,4024,4088,3586,3385,2627,3030,3813,4577,5271,5806,6112,5924,5556,5526,5686,4845,4814,4283,4116,4411,3584,3103,3760,5155,5950,6008,6038,5754,5689,5153,5006,4771,4084,3655,3253,2786,2267,1810,1698,1149,1015,762,579,455,357,297,197,131,75,182
1990,CompleteOnly,males,Dx,4041,573,317,251,215,183,177,180,148,159,129,135,141,173,204,236,295,431,439,323,458,605,654,656,664,661,701,754,817,873,954,991,1042,1091,1085,1187,1191,1265,1437,1502,1742,1820,1432,1709,1342,1384,1696,1784,2645,3168,3642,4278,4568,4664,4174,3849,3067,3441,4231,5097,5874,6263,6611,6560,6242,6069,6137,5084,5028,4588,4388,4566,3770,3272,4021,5491,5910,6170,6141,5713,5663,4877,4764,4658,3760,3423,3030,2600,2057,1629,1531,891,784,582,467,370,245,217,159,89,182
1991,CompleteOnly,males,Dx,4197,545,296,259,244,212,210,232,190,190,143,161,153,158,194,239,323,448,439,414,532,655,566,647,683,717,661,750,876,947,1076,1173,1228,1178,1348,1296,1399,1491,1520,1759,1891,2013,2301,1750,2040,1632,1603,1981,2160,3182,3723,4221,4670,5207,5480,4700,4311,3444,4028,4776,5989,6616,7048,7316,6939,6523,6497,6601,5593,5329,4920,4611,4830,4016,3457,4262,5612,6182,6293,6280,5914,5498,4818,4654,4433,3775,3183,2831,2380,1793,1440,1232,823,627,495,402,294,201,127,107,204
1992,CompleteOnly,males,Dx,4032,543,282,243,243,236,187,168,167,164,128,132,141,174,193,230,321,440,489,471,608,743,664,663,748,782,757,857,966,1082,1143,1231,1275,1388,1383,1526,1528,1636,1715,1916,2072,2222,2475,2541,2108,2452,1877,1908,2256,2335,3658,4083,4819,5555,5991,5955,5321,4793,3661,4116,5323,6372,7224,7335,7866,7483,6991,6916,6804,5824,5619,5037,4800,5039,3777,3393,4128,5575,6108,6173,6046,5741,5221,4639,4360,3941,3345,2695,2391,1936,1526,1189,1009,652,491,367,255,161,119,114,223
1993,CompleteOnly,males,Dx,4065,515,274,245,213,187,185,157,166,162,167,140,175,174,190,236,333,402,501,482,608,679,660,658,736,713,766,807,872,989,1155,1253,1250,1471,1584,1608,1690,1681,1849,1949,2150,2345,2436,2686,2775,2383,2719,2074,2070,2533,2793,3945,4663,5207,5960,6578,6703,5722,5197,4033,4654,5610,6931,7714,8081,8531,8199,7615,7316,7220,6306,5856,5271,4971,5276,4226,3608,4230,5596,6334,6223,6034,5501,5160,4421,4068,3908,2999,2379,2091,1679,1216,966,766,455,357,284,203,128,89,212
1994,CompleteOnly,males,Dx,3713,493,269,226,212,197,171,190,171,180,164,139,155,134,208,239,331,467,543,572,660,787,743,767,824,844,839,925,947,1032,1227,1280,1450,1501,1674,1684,1797,1947,1931,2148,2332,2256,2774,2715,3039,3267,2630,3012,2446,2254,2910,2895,4356,5030,5668,6656,7157,7327,6334,5607,4619,4959,6076,7253,8246,8683,8795,8651,8033,7712,7809,6509,6127,5345,5196,5333,4100,3496,4234,5446,5978,5890,5703,5131,4516,4001,3534,3231,2537,1944,1736,1251,932,700,555,327,203,162,122,102,171
1995,CompleteOnly,males,Dx,3521,508,270,172,216,180,181,173,171,144,146,144,156,155,195,254,320,480,482,597,710,772,796,798,871,916,901,1021,1070,1112,1305,1430,1508,1660,1865,1987,2099,2108,2272,2375,2739,2695,2843,3301,3340,3756,3910,3119,3692,2848,2990,3214,3442,4991,5856,6584,7432,8054,8001,6824,6375,4738,5362,6755,7898,8906,8974,9289,8848,8177,7984,7845,6607,6158,5361,5199,5193,4197,3518,4181,5426,5747,5532,5299,4658,4103,3482,3192,2636,2047,1687,1401,956,688,470,482,202,143,99,72,148
1996,CompleteOnly,males,Dx,3228,459,251,199,179,136,157,166,167,131,144,124,121,177,169,219,282,391,493,567,674,788,750,787,837,906,929,913,1038,1111,1205,1233,1409,1546,1706,1932,2129,2191,2161,2375,2571,2619,2807,2918,3280,3571,3752,4054,3284,3828,3135,2856,3405,3448,5129,5915,6852,7604,8178,8151,7445,6481,4980,5513,6710,7895,8540,9013,9261,8951,8196,7913,7660,6424,5855,5288,4945,5028,3836,3246,3810,4862,5316,5139,4778,4046,3522,2912,2656,2152,1646,1212,943,703,487,368,317,139,94,57,144
1997,CompleteOnly,males,Dx,3041,444,236,149,160,156,137,117,123,133,135,138,131,150,167,192,269,363,449,492,643,671,753,775,826,834,843,836,924,922,1040,1172,1185,1417,1612,1748,1868,2081,2268,2342,2547,2538,2791,2836,2900,3368,3407,3964,4068,3356,3958,2803,2879,3503,3503,5229,5867,6784,7500,8215,8642,7220,6519,5026,5547,6700,8000,8948,9010,9325,9066,8099,7838,7425,6205,5867,5035,4785,4684,3667,3101,3541,4533,4622,4385,4178,3405,3222,2382,2066,1763,1193,892,691,506,317,228,221,81,62,124
1998,CompleteOnly,males,Dx,2692,359,225,150,141,141,115,157,137,126,150,134,128,140,190,224,293,350,416,470,613,706,724,767,777,825,950,905,842,937,1051,1049,1169,1244,1467,1654,1714,1806,2036,2169,2410,2355,2405,2740,2712,2934,3221,3402,3732,3990,3354,3647,2693,2788,3317,3409,4927,5570,6271,7466,8388,8079,6922,6187,4718,5329,6526,7844,8588,8975,8967,8550,7888,7415,6949,5960,5572,4870,4419,4374,3349,2821,3190,3879,4172,3804,3452,3024,2479,1918,1703,1358,985,733,493,358,242,143,131,43,105
1999,CompleteOnly,males,Dx,2479,348,208,132,126,116,117,98,126,128,121,135,118,129,189,240,274,370,446,521,635,662,774,841,902,903,980,979,941,1001,1195,1126,1268,1347,1461,1709,1851,1931,2193,2310,2595,2578,2636,2774,2897,3161,3210,3554,3636,4167,4431,3471,4005,2961,2994,3678,3580,5161,5924,6979,8143,8518,8802,7409,6518,5202,5584,6873,8107,8865,9183,9416,8964,8061,7474,7153,6023,5525,4759,4374,4401,3275,2615,3055,3758,3785,3368,2975,2511,2075,1571,1319,1009,678,517,372,262,135,103,96,118
2000,CompleteOnly,males,Dx,2271,307,181,121,117,93,105,103,121,109,117,118,126,163,161,214,314,406,432,524,606,671,808,818,930,963,1011,1020,1057,1139,1209,1146,1260,1449,1439,1590,1796,2014,2178,2343,2789,2657,2843,3010,3076,3529,3506,3436,3979,4146,4555,4703,3771,4292,3171,3175,3750,3857,5523,6345,7705,8476,9069,9126,7732,6797,5237,5751,7138,8229,9228,9386,9547,8927,7906,7648,7203,5962,5486,4536,4294,4178,3078,2487,2771,3402,3344,3099,2686,2109,1696,1272,1075,817,519,358,237,129,95,81,133
2001,CompleteOnly,males,Dx,2031,282,178,138,115,106,93,98,122,119,120,102,121,149,196,232,255,408,497,539,592,751,792,803,932,1001,1027,1066,1121,1186,1257,1326,1287,1387,1469,1636,1762,1951,2179,2375,2611,2868,2862,2968,3056,3406,3624,3663,3740,4065,4364,4724,4907,3952,4462,3438,3237,3857,3869,5640,6850,7850,8701,9306,9103,7757,6699,5300,5794,6981,8279,9159,9209,9304,8658,7727,7287,6710,5667,5178,4456,3883,3832,2820,2258,2397,2890,2841,2531,2156,1704,1385,971,777,555,357,236,164,90,64,132
2002,CompleteOnly,males,Dx,1982,245,144,108,108,95,107,108,88,102,108,88,114,122,180,211,272,360,434,477,674,668,696,815,938,949,953,1056,1074,1172,1275,1300,1368,1421,1526,1735,1644,1918,2066,2349,2642,2774,3123,3198,3184,3551,3554,3912,3864,3931,4717,4595,4992,5302,4090,4850,3509,3510,3969,4093,6386,7285,7987,9120,9415,9695,7915,7148,5383,5993,7204,8741,9350,9306,9344,8534,7707,7087,6705,5577,5114,4271,3664,3454,2580,1985,2149,2484,2378,2126,1713,1280,961,708,556,382,261,146,90,69,108
2003,CompleteOnly,males,Dx,1869,269,140,99,118,87,81,78,93,86,93,75,102,115,125,196,258,359,425,475,583,626,617,726,852,930,962,1067,1102,1201,1395,1322,1336,1424,1482,1703,1638,1873,1945,2279,2677,2686,2933,3321,3334,3735,3624,3748,3910,4112,4448,4713,4901,5207,5376,4487,4863,3613,3577,4138,4662,6360,7464,8286,9123,9786,9745,8140,7143,5527,6131,7388,8775,9243,9239,9300,8672,7398,6993,6556,5277,4746,3937,3388,3360,2242,1719,1866,2205,2033,1750,1448,1061,820,532,374,252,144,102,69,98
2004,CompleteOnly,males,Dx,1886,235,124,84,96,79,84,81,81,63,74,94,76,97,132,175,251,313,396,404,611,589,663,727,766,890,914,1090,1157,1208,1405,1343,1406,1531,1593,1764,1815,1976,2056,2159,2723,2785,3096,3315,3654,3874,3902,4158,4129,4337,4787,4529,5077,5107,5634,6199,4602,5174,3820,3625,4805,4613,6607,7479,8506,9462,9920,9893,8218,7407,5539,5974,7254,8425,8939,9219,8792,8184,7344,6442,6122,4969,4252,3432,3015,2890,1948,1539,1584,1770,1560,1332,1029,689,554,398,252,174,98,69,122
2005,CompleteOnly,males,Dx,2003,256,119,96,108,67,85,80,89,92,75,70,87,100,138,166,222,321,391,494,571,613,658,727,819,878,1008,1107,1134,1291,1396,1521,1572,1661,1688,1886,1893,2015,2131,2341,2752,2748,3203,3486,3527,4128,4007,4313,4439,4591,5093,4986,4939,5477,5492,6215,6256,4803,5417,3957,4449,4985,4984,7056,7888,8629,9795,10459,10266,8603,7516,5770,6125,7349,8431,9326,9004,8908,8079,7156,6253,5851,4616,4101,3258,2728,2565,1667,1260,1282,1470,1290,1087,781,570,409,254,177,114,56,112
2006,CompleteOnly,males,Dx,2085,195,119,99,85,79,65,72,78,63,60,65,67,110,106,137,201,267,423,490,563,604,695,722,756,872,916,1011,1164,1252,1417,1453,1530,1605,1667,1838,1770,1915,1953,2049,2459,2410,2843,3088,3198,3798,3699,4051,4198,4306,4717,4630,4636,4787,5303,5556,5784,6085,4747,5240,4287,4086,4757,4820,6768,7463,8409,9615,10254,10171,8354,7236,5503,6021,7153,8247,8628,8777,8276,7571,6693,5952,5305,4089,3638,2858,2391,2224,1405,1085,1055,1147,983,771,578,385,287,159,111,72,111
2007,CompleteOnly,males,Dx,2365,219,134,75,78,59,83,77,65,88,67,71,78,79,126,156,217,325,417,462,638,630,688,797,829,886,925,1155,1205,1309,1462,1622,1689,1840,1821,1995,1906,2080,2090,2167,2685,2490,2802,3127,3338,3938,3968,4218,4419,4586,4861,4675,4966,5093,5009,5805,5710,6118,6377,4937,6040,4379,4022,4755,4818,7002,7668,8519,9444,10217,10093,8371,7294,5409,5847,6910,8057,8418,8380,8066,7137,6210,5329,4798,3730,3225,2443,2081,1829,1260,869,843,890,783,527,437,298,195,92,86,102
2008,CompleteOnly,males,Dx,2242,205,105,86,63,61,50,59,55,49,55,57,45,71,93,122,179,257,311,401,505,619,645,734,846,889,920,1038,1222,1210,1485,1490,1646,1758,1807,1942,1917,2089,2078,2221,2523,2466,2655,2895,3138,3648,3733,4065,4292,4406,4876,4866,4887,5084,5113,5128,5691,5891,6084,6466,5451,5958,4230,4094,4756,4757,6750,7537,8356,9385,9960,10042,8200,7066,5242,5655,6731,7862,8068,7642,7539,6785,5607,4897,4446,3325,2813,2151,1813,1565,933,663,660,665,581,420,311,189,123,66,86
2009,CompleteOnly,males,Dx,2123,198,107,62,61,52,58,47,31,45,44,61,55,86,88,105,144,210,287,328,398,509,547,593,646,713,818,927,973,1092,1141,1288,1338,1325,1488,1577,1528,1746,1681,1716,1884,1984,2000,2181,2367,2775,2767,3169,3465,3629,3846,3993,4052,4195,4348,4595,4681,5061,5195,5522,6403,5002,5523,3932,3806,4581,4503,6536,7192,8046,9212,9773,9603,7764,6866,4943,5561,6623,7414,7535,7506,6944,6271,5125,4433,3843,3019,2479,1838,1520,1279,871,550,529,510,408,305,198,126,76,117
2010,CompleteOnly,males,Dx,2128,179,102,76,73,52,50,60,50,46,28,48,58,71,91,100,136,205,229,284,389,398,484,562,603,621,737,809,828,937,1076,1085,1245,1222,1358,1445,1416,1479,1576,1575,1729,1743,1787,2012,2038,2229,2483,2774,2993,3198,3526,3595,3746,3886,4003,4254,4338,4538,4941,5136,5960,6313,4764,5375,3883,3807,4482,4492,6421,7494,8145,9133,9801,9600,8059,6886,5160,5266,6412,7223,7464,7130,6795,5683,4790,4173,3519,2654,2132,1621,1319,1061,704,415,404,360,277,197,138,63,135
2011,CompleteOnly,males,Dx,2068,159,104,75,60,68,54,42,45,42,42,56,54,57,71,95,140,175,226,280,323,388,434,481,531,609,627,727,810,795,967,1044,1126,1175,1223,1376,1404,1487,1445,1478,1538,1635,1758,1843,1879,2119,2150,2552,2719,2960,3321,3592,3748,3717,3844,4096,4372,4393,4534,4891,5450,5753,6204,4809,5264,3764,3672,4354,4392,6296,7102,7931,8915,9382,9250,7413,6507,4691,4896,5966,6619,6569,6318,5923,4998,4220,3360,2964,2113,1661,1241,907,789,484,323,271,268,209,121,66,128
2012,CompleteOnly,males,Dx,1959,144,109,88,66,52,48,46,46,36,42,44,40,48,75,91,124,131,212,251,320,391,433,437,537,644,611,666,784,840,933,1050,1087,1203,1259,1320,1389,1467,1533,1460,1657,1647,1722,1818,1869,2133,2088,2286,2715,2907,3307,3475,3616,3859,4084,4320,4288,4578,4721,4922,5512,5696,6038,6481,4835,5556,4100,3729,4541,4435,6402,7278,7914,8930,9372,9039,7447,6248,4370,4924,5615,6343,6273,5783,5302,4602,3634,2910,2418,1808,1404,1009,750,610,395,241,172,194,125,68,122
2013,CompleteOnly,males,Dx,1858,129,104,60,52,52,43,45,32,44,41,25,50,50,62,78,124,150,200,257,272,323,361,412,476,582,620,681,718,878,937,962,1068,1166,1235,1339,1418,1458,1502,1570,1639,1757,1727,1863,1811,2085,2203,2302,2400,2801,3233,3492,3729,3991,4123,4514,4323,4407,4695,4744,5246,5769,5928,6188,6607,5093,5659,4027,3820,4545,4481,6432,6977,7864,8915,9215,9013,7237,6143,4381,4597,5493,5759,5800,5421,5024,4223,3261,2596,2163,1527,1152,872,602,494,270,145,130,131,94,104
2014,CompleteOnly,males,Dx,1848,149,106,65,65,53,42,65,49,39,36,36,48,56,67,75,132,157,233,274,332,369,455,449,472,618,713,821,865,910,1088,1064,1111,1257,1332,1429,1437,1551,1654,1657,1781,1781,1794,1891,1966,2038,2186,2338,2562,2635,3084,3366,3614,3872,4102,4384,4535,4792,4814,5101,5318,5656,6049,5979,6314,6785,5234,5779,4160,4062,4747,4622,6648,7427,8153,9179,9538,9314,7390,6158,4407,4617,5185,5596,5333,4957,4547,3760,2950,2353,1889,1293,961,662,474,348,196,122,89,68,135
2015,CompleteOnly,males,Dx,1768,135,94,62,57,52,51,46,29,45,50,38,44,56,55,81,106,151,200,249,258,300,330,428,438,484,618,699,769,830,938,1052,1039,1166,1221,1365,1368,1490,1605,1655,1788,1836,1838,1988,2019,2011,2160,2308,2509,2557,2893,3156,3484,3682,4244,4420,4663,4845,4752,4942,5625,5595,5661,6279,6276,6795,7067,5457,6081,4196,4229,4786,4822,6755,7550,8351,9006,9533,9128,7183,5805,4249,4374,4992,5329,5078,4585,3975,3380,2583,1963,1515,1067,803,519,361,257,143,92,54,117
2016,CompleteOnly,males,Dx,1568,128,89,59,65,41,40,42,48,35,38,39,42,49,60,92,83,143,159,214,223,246,300,341,403,439,523,582,689,807,877,912,1058,1191,1103,1281,1402,1416,1514,1618,1710,1711,1872,1962,2064,2147,2102,2283,2438,2552,2798,2935,3164,3712,3958,4204,4668,4783,4865,5052,5597,5781,5815,5906,6272,6290,6755,6924,5540,5990,4381,4139,4879,4807,6747,7494,8199,8904,9065,8754,6761,5489,3966,3932,4483,4718,4523,3965,3467,2855,2196,1700,1140,813,593,389,257,179,101,44,102
2017,CompleteOnly,males,Dx,1483,126,78,73,56,53,33,32,46,41,46,47,39,49,64,68,91,119,143,182,220,251,286,297,332,386,481,561,647,775,902,908,1041,1150,1194,1266,1261,1410,1519,1527,1665,1750,1835,1957,1997,2073,2229,2279,2338,2517,2803,2830,2974,3376,3845,4275,4466,4748,5027,5102,5469,5556,5789,5669,5741,6220,6408,6773,7222,5378,6183,4247,4064,4727,4756,6491,7254,8036,8465,8642,8167,6509,5091,3687,3751,4056,4174,3915,3375,2959,2366,1760,1274,934,619,441,228,193,124,71,92
2018,CompleteOnly,males,Dx,1249,114,74,48,52,43,47,43,48,32,49,57,42,49,55,54,87,113,160,169,227,225,267,294,298,347,410,519,640,723,861,1032,1058,1187,1255,1449,1341,1522,1570,1731,1930,1823,2013,2151,2229,2292,2446,2460,2559,2555,2920,3066,3131,3234,3812,4355,4562,4918,5291,5316,5763,6002,5808,6009,5892,6161,6671,6708,7047,7461,5613,6281,4410,4202,4867,4781,6583,7167,7738,8334,8558,7865,6086,4866,3368,3360,3568,3733,3360,2859,2518,2057,1370,999,681,406,344,199,127,100,85
2019,CompleteOnly,males,Dx,1129,105,66,51,37,47,36,45,48,35,34,43,42,51,72,64,83,122,165,173,207,191,242,241,305,347,383,486,571,650,786,921,1055,1212,1186,1358,1418,1531,1569,1691,1846,1860,1988,2125,2101,2445,2326,2559,2582,2569,2756,2946,3208,3292,3549,3988,4313,4664,5015,5341,5781,5970,5860,5880,6198,6187,6205,6645,6690,7152,7514,5708,6319,4417,4184,4839,4723,6448,6941,7587,7917,8109,7341,5680,4471,3086,2997,3223,3206,2854,2498,2016,1527,1055,735,493,304,188,127,83,96
2020,CompleteOnly,males,Dx,1026,91,50,47,31,44,39,34,35,31,32,37,31,48,63,75,77,128,169,188,179,193,207,230,270,297,356,412,532,608,704,878,951,1101,1192,1236,1398,1497,1539,1629,1823,1843,1915,2081,2220,2386,2394,2390,2635,2722,2984,2913,3115,3412,3570,3888,4308,4780,5174,5669,6288,6493,6786,6742,6805,6913,6907,7027,7605,7838,8055,8543,6523,7081,5116,4609,5364,5081,7126,7676,8026,8449,8559,7711,5994,4590,3192,2867,3046,2982,2619,2169,1781,1318,912,610,407,233,154,82,106
2021,CompleteOnly,males,Dx,1068,73,39,47,43,33,38,30,36,42,37,47,71,59,82,89,114,97,164,192,175,216,216,246,256,282,357,402,448,554,687,796,972,1142,1260,1360,1441,1628,1678,1777,1916,2024,2026,2233,2315,2573,2595,2813,2919,3009,3364,3171,3382,3653,3793,4196,4263,5112,5596,6104,6715,7158,7244,7673,7570,7754,7999,8128,8107,8894,8962,9440,10316,7671,8388,5990,5514,6131,5762,7994,8532,8998,9355,9211,8226,6027,4564,3012,2853,2993,2750,2344,1871,1532,1143,730,460,306,170,86,120
1989,CompleteOnly,females,Dx,2914,481,258,198,167,143,104,105,92,93,68,73,86,92,103,122,153,167,164,169,169,141,168,159,168,193,167,211,220,226,262,265,277,284,351,350,359,432,430,493,613,464,580,429,466,576,642,927,1070,1308,1524,1688,1832,1656,1502,1257,1438,1916,2334,2831,3179,3473,3849,4052,4325,4780,4635,4854,4548,4682,5314,4505,4359,5426,7709,9259,10051,10712,10425,10719,9975,10086,10154,9169,8589,8163,7444,6191,5509,5308,3279,2983,2449,2092,1596,1235,985,695,648,578,1089
1990,CompleteOnly,females,Dx,2871,440,216,195,156,134,106,90,77,88,63,80,78,58,99,129,130,149,201,180,186,150,169,144,139,174,170,219,220,236,247,275,331,353,314,346,400,416,478,518,571,642,508,670,491,550,695,700,1061,1213,1437,1769,1913,2045,1788,1726,1375,1638,2100,2639,3153,3415,3862,4421,4466,4996,5393,5266,5483,5151,5260,5975,4896,4543,6107,8552,10117,10823,11367,10965,11481,10434,10539,10341,9434,8675,8052,7215,5821,5133,4925,2746,2616,1994,1760,1270,1029,814,616,493,1179
1991,CompleteOnly,females,Dx,3046,420,234,192,179,142,137,120,100,96,91,81,93,98,116,116,142,153,185,193,169,150,175,176,179,206,169,197,226,263,278,287,329,358,319,402,431,448,468,597,565,661,756,595,727,603,639,718,830,1160,1408,1661,1988,2208,2411,2164,1982,1599,1897,2397,3026,3588,3971,4371,4830,5134,5805,6199,5856,6170,5806,5914,6613,5601,5153,6567,9380,10976,11800,12307,11836,11897,10719,10685,10460,9209,8431,7680,6799,5383,4804,4199,2437,2288,1761,1346,1067,804,612,489,1266
1992,CompleteOnly,females,Dx,2827,396,220,191,152,140,103,100,97,97,80,86,91,84,118,151,176,166,187,186,179,194,217,191,168,193,205,205,221,266,297,289,383,371,369,436,460,475,530,564,652,710,759,859,696,877,684,734,887,856,1305,1531,1869,2153,2424,2586,2362,2172,1811,2122,2820,3336,3939,4328,5026,5368,5599,6170,6684,6609,6864,6273,6298,7046,5930,5522,6953,10033,11556,12104,12528,12003,12014,10662,10589,9916,8944,7784,6813,6119,4916,3985,3499,1999,1683,1319,1091,780,584,430,1267
1993,CompleteOnly,females,Dx,2743,395,226,166,155,121,112,104,91,100,71,79,91,75,109,117,162,153,192,162,180,192,175,200,186,216,247,237,240,270,328,330,350,374,400,477,454,492,543,599,662,695,791,891,1030,856,1001,775,800,1069,1078,1487,1800,2111,2577,2819,3032,2648,2520,2065,2481,3047,3766,4635,4995,5663,6258,6658,7067,7839,7427,7651,7098,7126,8046,6734,6010,7874,10985,12525,13298,13582,12340,12559,11003,10582,9903,8648,7454,6505,5699,4254,3456,3033,1602,1366,1018,825,597,450,1263
1994,CompleteOnly,females,Dx,2602,370,222,169,167,136,118,124,87,84,77,85,78,106,121,135,155,180,198,203,214,185,227,238,217,225,232,249,264,266,302,354,382,420,473,490,533,579,595,680,734,720,891,894,988,1183,922,1173,894,953,1163,1102,1649,2022,2388,2883,3208,3380,3012,2824,2242,2661,3466,4267,4991,5674,6250,6908,7107,7921,8786,8078,8461,7579,7782,8631,7156,6436,8283,11547,13182,13423,13621,12523,12091,10505,9884,9033,7646,6503,5579,4305,3427,2624,2288,1173,1026,714,571,409,987
1995,CompleteOnly,females,Dx,2514,392,188,172,149,124,116,108,96,83,71,97,97,90,103,159,160,177,203,200,214,211,226,224,252,272,261,265,295,297,335,360,380,482,492,590,607,630,705,750,804,839,883,991,1037,1249,1322,1153,1359,1036,1140,1333,1312,1977,2308,2728,3242,3549,3818,3272,3187,2505,2927,3724,4713,5530,6197,6613,7433,7809,8675,9283,8743,8906,8067,8067,8877,7338,6588,8405,11667,12854,13114,13153,11784,11393,9585,8772,8095,6702,5622,4449,3555,2571,2045,1821,831,671,507,335,898
1996,CompleteOnly,females,Dx,2313,382,182,121,136,131,106,84,94,96,79,74,92,87,117,139,145,175,193,205,196,214,207,236,235,232,275,273,301,327,315,358,360,428,464,510,564,610,672,692,797,834,871,897,1065,1184,1198,1503,1175,1388,1195,1141,1282,1382,2023,2591,2846,3424,3788,3998,3579,3185,2722,3086,4069,4960,5722,6607,7212,7899,8246,8854,9626,9168,9303,8457,8299,9140,7333,6735,8241,11583,12398,12855,12424,11230,10392,8732,7717,7019,5657,4400,3492,2717,1872,1507,1174,559,427,339,893
1997,CompleteOnly,females,Dx,2098,328,186,109,116,112,106,76,94,81,88,89,94,89,109,98,122,154,168,172,184,238,240,201,230,251,275,241,287,281,311,302,317,436,424,489,539,573,619,671,750,729,802,926,944,1129,1166,1325,1487,1155,1474,1132,1168,1414,1468,2190,2507,3105,3579,3972,4242,3641,3426,2809,3369,4242,5145,6117,6858,7611,8266,8624,9342,9949,9455,9740,8871,8711,9149,7442,6742,8122,11197,12090,11873,11489,10184,9509,7436,6799,5938,4579,3492,2776,2129,1440,1115,824,353,284,738
1998,CompleteOnly,females,Dx,1799,314,150,117,93,86,73,86,73,59,76,83,82,82,90,127,153,153,190,175,169,204,201,202,225,269,224,253,257,274,261,303,337,351,387,461,453,521,595,601,727,699,764,828,891,941,1090,1103,1334,1503,1303,1430,1095,1088,1329,1475,2188,2531,3014,3579,4002,4118,3709,3440,2971,3439,4341,5535,6395,7142,8006,8650,8883,9685,10442,9842,9757,8878,8434,9503,7608,6463,7971,10708,11585,11030,10747,9155,8293,6398,5737,4775,3552,2631,2139,1591,1086,749,628,224,609
1999,CompleteOnly,females,Dx,1708,307,134,116,110,95,64,60,70,66,75,70,80,88,114,108,139,137,179,157,179,188,190,218,211,252,272,299,237,306,333,301,329,327,400,404,498,565,596,623,756,745,857,891,939,994,1082,1204,1363,1434,1709,1387,1565,1238,1225,1532,1623,2408,2865,3389,3963,4439,4595,4205,3827,3268,3798,4735,5942,6910,7698,8712,9270,9641,10482,11107,10267,10354,9101,9106,9605,7440,6651,7959,10462,11189,10518,9789,8398,7221,5728,4797,3847,2889,2200,1565,1096,737,551,383,556
2000,CompleteOnly,females,Dx,1503,267,133,93,76,67,61,60,54,61,55,69,92,90,102,120,139,157,162,169,190,199,193,225,195,241,238,256,294,282,347,354,359,391,367,440,474,564,667,693,751,816,828,899,922,1060,1067,1147,1389,1442,1584,1846,1469,1707,1351,1413,1676,1733,2579,3026,3597,4297,4721,4989,4539,4215,3506,4101,5120,6382,7403,8585,9158,10064,10333,10973,11525,11030,11000,9595,9170,9805,7647,6656,7887,10199,10572,9801,9132,7415,6446,4748,3951,3044,2230,1512,1142,793,480,364,639
2001,CompleteOnly,females,Dx,1448,265,125,77,63,74,52,56,75,50,55,61,68,87,97,126,145,135,201,179,195,216,205,240,231,263,296,264,321,330,356,350,394,382,425,443,468,533,620,661,785,854,820,898,899,1034,1137,1160,1268,1493,1590,1817,1940,1541,1826,1487,1504,1803,1833,2764,3272,3749,4527,5107,5266,4827,4428,3618,4218,5434,6829,7929,8863,9698,10415,10739,11370,11827,11053,10977,9785,9246,9458,7319,6322,7115,9108,9233,8530,7786,6133,5279,3719,3030,2364,1627,1111,820,595,318,664
