year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2022,200,Ukraine,UKR,UKR,195,Tunisia,TUN,TUN,0,29,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,196,Türkiye,TUR,TUR,2768,2189,2000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,262,Unknown ,UKN,UNK,0,0,26000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,200,Ukraine,UKR,UKR,0,0,0,5914000,2616000,0,497343,NA,0
2022,200,Ukraine,UKR,UKR,201,Uruguay,URU,URY,18,0,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,202,United States of America,USA,USA,3063,12369,4000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,3,Albania,ALB,ALB,4959,0,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,8,Egypt,ARE,EGY,0,9,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,9,Argentina,ARG,ARG,121,39,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,10,Armenia,ARM,ARM,599,46,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,11,Australia,AUL,AUS,7472,809,50,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,12,Austria,AUS,AUT,83748,68,5000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,13,Azerbaijan,AZE,AZE,4206,107,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,17,Belgium,BEL,BEL,75260,0,4000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,24,Belarus,BLR,BLR,39645,282,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,25,Bolivia (Plurinational State of),BOL,BOL,7,10,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,27,Brazil,BRA,BRA,1129,30,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,29,Bosnia and Herzegovina,BSN,BIH,185,8,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,30,Bulgaria,BUL,BGR,68276,5,51000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,33,Canada,CAN,CAN,75055,191,4000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,37,China,CHI,CHN,0,20,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,38,Chile,CHL,CHL,67,43,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,44,Colombia,COL,COL,8,24,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,45,Costa Rica,COS,CRI,13,44,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,48,Cyprus,CYP,CYP,19019,111,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,49,Czechia,CZE,CZE,374247,100,23000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,50,Denmark,DEN,DNK,35940,749,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,53,Dominican Rep.,DOM,DOM,6,12,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,54,Ecuador,ECU,ECU,92,0,0,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,57,Estonia,EST,EST,41463,294,2000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,61,Finland,FIN,FIN,63503,327,2000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,64,France,FRA,FRA,68181,1866,6000,0,0,0,0,NA,0
2023,200,Ukraine,UKR,UKR,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,225497,327,4000,0,0,0,0,NA,0
